Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,598535,3795.4314,477,12.857,44156,4.25
0nDHC-5Z5O0,"Поступок, который спас жизнь бездомному","Jul 1, 2025",44,354581,2192.0568,250,4.978,658,1.06
wsRrXdNc7EY,Напряжение между Россией и Азербайджаном наростает,"Jul 1, 2025",50,64886,454.544,14,2.184,3536,3.68
M45Cp6m-FeU,Охота на Азербайджанцев в России началась🤯,"Jul 2, 2025",52,29115,233.0549,19,0.98,318,8.81
X8UrGMy1ZAM,ОН ПИЛ ВОДУ 60 ЧАСОВ ПОДРЯД,"Jul 1, 2025",35,24526,147.3452,181,0.616,502,2.99
CzwZygCARD4,СПАС ЖИЗНЬ СВОЕМУ БРАТУ,"Jul 1, 2025",32,23464,126.5109,31,0.599,273,2.56
RuRhAtik0bY,"Сдержал слово, которое дал покойной жене","Jul 2, 2025",45,21593,168.9619,35,0.769,401,1
KrceGd5tLsA,Дружба Мальчика и Обезьян удивила весь мир!,"Jul 2, 2025",47,20638,171.0994,34,0.831,477,4.82
w_Wx8PWawX4,"В сети хайпанул пёс, который подружился с вором, обносившим его дом.","Jun 30, 2025",24,13353,49.7541,4,0.431,381,3.94
O5Rx-I2yOtQ,Почему ситуация между Россией и Азербайджаном стала опасной?,"Jul 2, 2025",58,12441,92.6412,12,0.357,6925,5.27
3yiHDA3APqc,Что происходит между Россией и Азербайджаном сейчас?,"Jun 30, 2025",46,6112,34.7409,3,0.183,2876,4.45
63VOGBdL4Xg,"ОБМАН ЗРЕНИЯ, который вас удивит","Jun 30, 2025",6,5321,6.6514,0,0.09,148,0.68
xBOTxuM3bfg,Договорняк неизбежен  Анализ ситуации в Украине,"May 13, 2025",13,4479,8.5493,0,0.1,216,0.93
fmYiWVgooJw,ОН ВЫЖИЛ В АВИАКАТАСТРОФЕ,"Jul 1, 2025",38,3641,16.4349,1,0.105,278,1.44
1EtZLbsuNbI,ПОЧЕМУ ТИКТОК НАЧАЛ ПЛАТИТЬ ЗА ПРОСМОТРЫ В 2024 ГОДУ?,"Sep 5, 2024",47,3623,21.4337,4,0.133,18331,5.36
V3cJca8Qu9I,БРИТАНСКИЕ ВЛАСТИ ОБДЕЛАЛИСЬ (чуть-чуть),"Jun 30, 2025",22,1464,3.7355,1,0.051,184,1.09
C-yfIetHNWg,"Переговоры Украины и России, Трамп в Стамбуле, Сценарии","May 13, 2025",95,1431,12.9051,0,0.052,184,0
diEsoksmuqw,НОВАЯ ОПАСНАЯ ИГРА СРЕДИ ПОДРОСТКОВ,"Jun 30, 2025",68,1301,10.1251,0,0.039,131,3.05
yfFIJP_KK0k,До появления будильников - как люди просыпались?,"Jul 7, 2025",24,1097,4.4225,0,,11,0
zVvaG4fpbzc,"""Майдан"" в Сербии! Студенты вышли на улицу. Что происходит?","Jun 30, 2025",62,1021,5.6862,0,0.03,365,3.29
 -HIToiQlv54,Переговоры России и Украины  Эрдоган Сводит Трампа и Путина,"May 13, 2025",33,944,3.0049,1,0.022,252,0.4
dFbarn317Mw,"Трамп, Россия, Украина - Сговор? Что происходит?","May 13, 2025",29,839,3.0803,0,0.029,200,0
K7u1YST3vs0,"Он спас ребенка, когда никто не мог этого сделать","Jul 7, 2025",46,732,4.0916,1,,13,7.69
fSpjQa6NseA,"Этот парень построил дом, который всё делает за него!","Jul 7, 2025",55,727,5.1852,,,7,0
ohfAFobI_lU,КАК ЗАРАБОТАТЬ НА МОНЕТИЗАЦИИ ТИКТОК? | Заработок денег в интернете 2024,"Aug 31, 2024",354,118,7.12,1,0.164,435,7.82
9wVE7sBxcg4,Обмен или Мир?  Реальная Цена Стабильности,"May 13, 2025",13,57,0.0773,0,0.001,260,2.69
j89f27yp0Us,ПОЧЕМУ МЕНЯ ВЫГНАЛИ ИЗ ДРИМ ТИМ | ВСЯ ПРАВДА ПРО ОБМАН ОТ БЫВШЕГО УЧАСТНИКА,"Aug 22, 2023",913,48,4.76,0,0.046,812,4.8
K2mSu5nuuYg,РЕАКЦИЯ НА ИНТЕРВЬЮ АРТУРА БАБИЧА ОТ БЫВШЕГО УЧАСТНИКА DREAM TEAM,"Sep 12, 2024",960,34,3.2417,0,0.033,485,6.39
aTLFK6DDTb4,НОВАЯ НЕЙРОСЕТЬ ОТ ИЛОНА МАСКА - Grok 3,"Feb 17, 2025",44,29,0.2039,0,0.001,234,0.85
YPLQOkBgmR8,МУЖ ЗАСТАЛ ЖЕНУ ЗА ИЗМЕНОЙ И РЕШИЛ ОТОМСТИТЬ 🤯,"Jan 30, 2025",94,27,0.1439,0,0.001,214,2.34
9gYjnbRXnOg,"Учёные выяснили что происходит после смерти🤯 Часть 1, Проду?🤯","Aug 25, 2024",61,24,0.177,0,0.001,125,3.2
QwrldXCq1K4,Война в Украине - Когда закончится?  Переговоры не за горами!,"May 13, 2025",20,24,0.0316,0,0,128,0.78
xDTa9dEUwHE,ЗЕЛЕНСКИЙ И ТРАМП: ПЕРЕПАЛКА и ССОРА В ПРЯМОМ ЭФИРЕ,"Feb 28, 2025",94,15,0.1601,0,0,118,0
PcPtFTq0ToA,ПЕРЕГОВОРЫ В СТАМБУЛЕ ИЗМЕНЯТ ВСЁ?,"May 13, 2025",249,10,0.0404,0,0.002,152,1.32
u8DprNQTzg0,ОН РЕШИЛ ИЗБАВИТЬСЯ ОТ ПРОБЛЕМНОЙ РОДИНКИ  🤯,"Jan 30, 2025",68,8,0.0946,0,0,48,2.08
